checkpoint-acceleration	CUT	Optional A27/A28 caching, suffix-replay optimization and cache diagnostics are removed through a dated scope reduction.
experiment-evaluation-consumers	CONTINUE	API compatibility, metrics, blind evaluation and statistical reporting remain unproven.
experiment-execution	CONTINUE	Override validation, concurrent isolation, recovery and promotion remain unproven.
general-workflows	CONTINUE	Delivery graphs, panels, decomposition and restart behavior remain unproven.
golden-grid-rollout	CONTINUE	Snapshot migration, rollback and real-cycle evidence remain unproven; the old write blocker was not reproduced.
legacy-migration	CONTINUE	Identity preservation, interrupted import and rollback remain unproven.
live-product-validation	CONTINUE	The real three-arm, three-replicate experiment and inspected backend traces remain unproven.
provenance-acceptance	CONTINUE	Exact-output acceptance and dispatch/environment provenance remain unproven.
runtime-cutover	CONTINUE	Database authority without Git churn, executable graphs and installation compatibility remain unproven.
state-service	CONTINUE	Passing foundation evidence warrants continuation; complete fencing, integration recovery and replay, and correct the stale handoff.
telemetry-continuity	CONTINUE	Real provider reconciliation and outage/restart evidence remain unproven.
timelines-replay	CONTINUE	Production-preserving forks and zero-worker recorded replay remain unproven.
